canonical_model_id,has_unique_tier,has_v5n_addendum_link
v5j_pit_availability_boundary_closeout,True,True
v5j_pit_disclosure_trust_audit,True,True
v5j_pit_dividend_corporate_action_ledger,True,True
v5j_pit_pool_1min_pairing,True,True
v5j_pre2019_pit_rebuild_data_gate,True,True
v5j_pre2021_infra_original_cashflow_panel,True,True
v5j_pre2021_pit_repair_continuation_queue,True,True
v5j_pre2021_target_reconstruction_readiness,True,True
v5j_repaired_multisleeve_pit_pool,True,True
v5j_statement_visible_date_factor_panel,True,True
v5j_technical_existing_model_validation,True,True
v5j_v4_bank_indicator_pit_reuse_gate,True,True
v5j_v5e_profit_lock_sell_timing_proxy,True,True
v5k_active_model_registry,True,True
v5k_experiment_catalog,True,True
v5k_historical_platform_contract_archive,True,True
v5k_reproducibility_provenance,True,True
v5k_strategy_development_workflow_audit,True,True
v5k_workflow_activation_repair,True,True
v5k_workflow_repair_closeout,True,True
v5l_candidate_hardening_closeout,True,True
v5l_cash_constrained_nav_validation,True,True
v5l_primary_candidate_risk_observation,True,True
v5l_qmt_execution_evidence_and_forward_readiness,True,True
v5m_forward_paper_cycle_readiness,True,True
v5m_p0_closure,True,True
v5m_qmt_historical_contract_recovery,True,True
v5m_strict_cash_state_nav_repair,True,True
v5m_workflow_test_isolation_repair,True,True
