canonical_model_id,alignment_status,observations
v5f_spike_mr_sleeve_threshold_effectiveness_audit,daily_nav_unavailable,not_available
v5f_structural_rough_screen,daily_nav_unavailable,not_available
v5f_v57f_qv_mr_combination,daily_nav_unavailable,not_available
v5f_value_momentum_reversion_balance_test,daily_nav_unavailable,not_available
v5g_01_state_gated_internal_subsleeve_limited_engineering,daily_nav_unavailable,not_available
v5g_01_state_gated_internal_subsleeve_quant_spec,daily_nav_unavailable,not_available
v5g_02_quality_guarded_momentum_factor_validation,daily_nav_unavailable,not_available
v5g_03_erc_state_budget_conflict_review,daily_nav_unavailable,not_available
v5g_04_cash_proxy_policy_data_gate,daily_nav_unavailable,not_available
v5g_04_exit_policy_spec,daily_nav_unavailable,not_available
v5g_05_short_window_reversion_independent_validation_gate,daily_nav_unavailable,not_available
v5g_cross_line_model_research_startup,daily_nav_unavailable,not_available
v5g_next_queue_execution,daily_nav_unavailable,not_available
v5g_vs_midterm_model_comparison,daily_nav_unavailable,not_available
v5h_1min_research_line_governance,daily_nav_unavailable,not_available
v5h_1min_volume_amount_timing_test,daily_nav_unavailable,not_available
v5h_buy_execution_backtest,daily_nav_unavailable,not_available
v5h_buy_execution_queue_123,daily_nav_unavailable,not_available
v5h_buy_execution_spec_v1,daily_nav_unavailable,not_available
v5h_buy_execution_spec_v1_forward_observation,daily_nav_unavailable,not_available
v5h_buy_execution_spec_v1_jq_broker_paper_mapping,daily_nav_unavailable,not_available
v5h_buy_execution_timing_overlay,daily_nav_unavailable,not_available
v5h_combined_buy_execution_overlay_v1_observation,daily_nav_unavailable,not_available
v5h_market_cap_pit_segmentation_gate,daily_nav_unavailable,not_available
v5h_market_cap_pit_source_repair,daily_nav_unavailable,not_available
v5h_pre2021_total_market_cap_source_repair,daily_nav_unavailable,not_available
v5h_quiet_or_active_independent_validation,daily_nav_unavailable,not_available
v5h_segmented_1min_execution_diagnostic,daily_nav_unavailable,not_available
v5h_size_liquidity_interaction_independent_validation,daily_nav_unavailable,not_available
v5i_sell_execution_closeout,daily_nav_unavailable,not_available
v5i_sell_execution_evaluation,daily_nav_unavailable,not_available
v5i_sell_execution_provenance,daily_nav_unavailable,not_available
v5i_technical_exploration_hour_packet,daily_nav_unavailable,not_available
v5i_technical_sell_execution_quant_spec,daily_nav_unavailable,not_available
v5j_1min_technical_pattern_diagnostic,daily_nav_unavailable,not_available
v5j_5day_1min_family_execution_validation,daily_nav_unavailable,not_available
v5j_5day_1min_sell_formal_backtest,daily_nav_unavailable,not_available
v5j_bank_2011_2012_regulatory_pdf_repair,daily_nav_unavailable,not_available
v5j_cross_period_technical_validation_gate,daily_nav_unavailable,not_available
v5j_family_sell_execution_formal_backtest,daily_nav_unavailable,not_available
v5j_family_specific_sell_timing_diagnostic,daily_nav_unavailable,not_available
v5j_frozen_buy_timing_full_pit_validation,daily_nav_unavailable,not_available
v5j_frozen_sell_timing_full_pit_validation,daily_nav_unavailable,not_available
v5j_frozen_v5f_exact_target_validation,daily_nav_unavailable,not_available
v5j_infra_cashflow_parser_failure_diagnostic,daily_nav_unavailable,not_available
v5j_local_adjust_factor_corporate_action,daily_nav_unavailable,not_available
v5j_material_action_original_notice_extract,daily_nav_unavailable,not_available
v5j_material_action_unclassified_notice_fallback,daily_nav_unavailable,not_available
v5j_material_corporate_action_notice_repair,daily_nav_unavailable,not_available
v5j_missing_1min_source_repair,daily_nav_unavailable,not_available
v5j_momentum_cash_neutral_engineering,daily_nav_unavailable,not_available
v5j_momentum_daily_price_volume_sell,daily_nav_unavailable,not_available
v5j_momentum_overlay_cash_neutral_execution_spec,daily_nav_unavailable,not_available
v5j_momentum_overlay_partial_buy_skip,daily_nav_unavailable,not_available
v5j_overlay_only_sell_formal_backtest,daily_nav_unavailable,not_available
v5j_overlay_only_sell_validation,daily_nav_unavailable,not_available
v5j_pit_availability_boundary_closeout,daily_nav_unavailable,not_available
v5j_pit_disclosure_trust_audit,daily_nav_unavailable,not_available
v5j_pit_dividend_corporate_action_ledger,daily_nav_unavailable,not_available
v5j_pit_pool_1min_pairing,daily_nav_unavailable,not_available
v5j_pre2019_pit_rebuild_data_gate,daily_nav_unavailable,not_available
v5j_pre2021_infra_original_cashflow_panel,daily_nav_unavailable,not_available
v5j_pre2021_pit_repair_continuation_queue,daily_nav_unavailable,not_available
v5j_pre2021_target_reconstruction_readiness,daily_nav_unavailable,not_available
v5j_repaired_multisleeve_pit_pool,daily_nav_unavailable,not_available
v5j_statement_visible_date_factor_panel,daily_nav_unavailable,not_available
v5j_technical_existing_model_validation,daily_nav_unavailable,not_available
v5j_v4_bank_indicator_pit_reuse_gate,daily_nav_unavailable,not_available
v5j_v5e_profit_lock_sell_timing_proxy,daily_nav_unavailable,not_available
